ID,ITEM_CODE,ITEM_NAME,ITEM_DESCRIPTION,BRAND_ID,SEASON_ID,ITEM_TYPE_ID,CATEGORY_ID,VAT,LAST_COST_PRICE,MAIN_BARCODE,SUPPLIER_CODE,WEIGHT,UM,ACTIVE
49224,SL52000.0900660,PERIE PIELE INTOARSA-SL52000.0900660,NULL,130,19,4,34,21,6.2799100000,4006103106607,0660,NULL,BUC,1
49226,SL52000.0904960,RADIERA PIELE INTOARSA-SL52000.0904960,NULL,130,19,4,34,21,9.7173600000,4006103149604,4960,NULL,BUC,1
83518,SL52000.0905373,CREMA PANTOFI ALBA - SL52000.0905373,NULL,130,19,4,34,21,7.3307200000,700000013186,,NULL,BUC,1
83519,SL52000.0905764,STICK PIELE ALBA - SL52000.0905764,NULL,130,19,4,34,21,7.3796600000,700000013187,,NULL,BUC,1
87688,SL52000.9630400,INCALTATOR METALIC 42 CM-SL52000.9630400,NULL,130,19,4,34,21,11.4285400000,700000017259,96304,NULL,BUC,1
94390,SL52000.0905382,BRILLANT ALBASTRU-SL52000.0905382,NULL,130,19,4,34,21,7.0982000000,700000023912,905382,NULL,BUC,1
94392,SL52000.0906211,BRILLANT ROSU-SL52000.0906211,NULL,130,19,4,34,21,6.7915400000,700000023914,906211,NULL,BUC,1
94396,SL52000.0905525,RADIERA PIELE INTOARSA - SL52000.0905525,NULL,130,19,4,34,21,11.7577700000,700000023917,905525,NULL,BUC,1
94402,SL52000.0906661,SAMPON INCALTAMINTE-SL52000.0906661,NULL,130,19,4,34,21,9.8781700000,700000023921,906661,NULL,BUC,1
96705,OTYN01111BK278149999,OT27814 01-N PANTOF BARBAT,NULL,24,23,1,12,21,75.0011300000,700000026184,27814,NULL,PER,1
100882,OTYN01111BK278509999,OT27850 01-N PANTOF BARBAT,NULL,24,23,1,12,21,75.0475500000,700000030326,27850,NULL,PER,1
100886,OTYN01111BK278249999,OT27824 01-N PANTOF BARBAT,NULL,24,23,1,12,21,75.0132000000,700000030330,27824,NULL,PER,1
219807,SLYB13433DS690499905,SL6904 BAREFOOT 13-B BRANT DAMA 36,NULL,130,23,4,34,21,4.9409800000,700000147989,6904,NULL,BUC,1
219808,SLYB13433DS690499907,SL6904 BAREFOOT 13-B BRANT DAMA 37,NULL,130,23,4,34,21,4.9709200000,700000147990,6904,NULL,BUC,1
219809,SLYB13433DS690499909,SL6904 BAREFOOT 13-B BRANT DAMA 38,NULL,130,23,4,34,21,4.9779300000,700000147991,6904,NULL,BUC,1
219810,SLYB13433DS690499911,SL6904 BAREFOOT 13-B BRANT DAMA 39,NULL,130,23,4,34,21,4.9317500000,700000147992,6904,NULL,BUC,1
219811,SLYB13433BS690499913,SL6904 BAREFOOT 13-B BRANT BARBAT 40,NULL,130,23,4,34,21,4.9380200000,700000147993,6904,NULL,BUC,1
219812,SLYB13433BS690499915,SL6904 BAREFOOT 13-B BRANT BARBAT 41,NULL,130,23,4,34,21,4.8478300000,700000147994,6904,NULL,BUC,1
219813,SLYB13433BS690499917,SL6904 BAREFOOT 13-B BRANT BARBAT 42,NULL,130,23,4,34,21,4.8566500000,700000147995,6904,NULL,BUC,1
219814,SLYB13433BS690499919,SL6904 BAREFOOT 13-b BRANT BARBAT 43,NULL,130,23,4,34,21,4.8250000000,700000147996,6904,NULL,BUC,1
219815,SLYB13433BS690499921,SL6904 BAREFOOT 13-B BRANT BARBAT 44,NULL,130,23,4,34,21,4.6179000000,700000147997,6904,NULL,BUC,1
219816,SLYB13433BS690499923,SL6904 BAREFOOT 13-B BRANT BARBAT 45,NULL,130,23,4,34,21,4.5836100000,700000147998,6904,NULL,BUC,1
219817,SLYN03433DS661199905,SL6611 LEATHER EXQUISIT 03-N BRANT DAMA 36,NULL,130,23,4,34,21,8.6400800000,700000147999,6611,NULL,BUC,1
219818,SLYN03433DS661199907,SL6611 LEATHER EXQUISIT 03-N BRANT DAMA 37,NULL,130,23,4,34,21,8.6739600000,700000148000,6611,NULL,BUC,1
219819,SLYN03433DS661199909,SL6611 LEATHER EXQUISIT 03-N BRANT DAMA 38,NULL,130,23,4,34,21,8.7010800000,700000148001,6611,NULL,BUC,1
219820,SLYN03433DS661199911,SL6611 LEATHER EXQUISIT 03-N BRANT DAMA 39,NULL,130,23,4,34,21,8.6557200000,700000148002,6611,NULL,BUC,1
219821,SLYN03433BS661199913,SL6611 LEATHER EXQUISIT 03-N BRANT BARBAT 40,NULL,130,23,4,34,21,8.6471300000,700000148003,6611,NULL,BUC,1
219822,SLYN03433BS661199915,SL6611 LEATHER EXQUISIT 03-N BRANT BARBAT 41,NULL,130,23,4,34,21,8.4616200000,700000148004,6611,NULL,BUC,1
219823,SLYN03433BS661199917,SL6611 LEATHER EXQUISIT 03-N BRANT BARBAT 42,NULL,130,23,4,34,21,8.4465000000,700000148005,6611,NULL,BUC,1
219824,SLYN03433BS661199919,SL6611 LEATHER EXQUISIT 03-N BRANT BARBAT 43,NULL,130,23,4,34,21,8.4318400000,700000148006,6611,NULL,BUC,1
219827,SLYN03433DS691199905,SL6911 LEATHER ACTIVE 03-N BRANT DAMA 36,NULL,130,23,4,34,21,9.2592500000,700000148009,6911,NULL,BUC,1
219828,SLYN03433DS691199907,SL6911 LEATHER ACTIVE 03-N BRANT DAMA 37,NULL,130,23,4,34,21,9.2854100000,700000148010,6911,NULL,BUC,1
219829,SLYN03433DS691199909,SL6911 LEATHER ACTIVE 03-N BRANT DAMA 38,NULL,130,23,4,34,21,9.4076700000,700000148011,6911,NULL,BUC,1
219830,SLYN03433DS691199911,SL6911 LEATHER ACTIVE 03-N BRANT DAMA 39,NULL,130,23,4,34,21,9.3073900000,700000148012,6911,NULL,BUC,1
219831,SLYN03433BS691199913,SL6911 LEATHER ACTIVE 03-N BRANT BARBAT 40,NULL,130,23,4,34,21,9.3278400000,700000148013,6911,NULL,BUC,1
219832,SLYN03433BS691199915,SL6911 LEATHER ACTIVE 03-N BRANT BARBAT 41,NULL,130,23,4,34,21,9.0973100000,700000148014,6911,NULL,BUC,1
219833,SLYN03433BS691199917,SL6911 LEATHER ACTIVE 03-N BRANT BARBAT 42,NULL,130,23,4,34,21,9.1548300000,700000148015,6911,NULL,BUC,1
219834,SLYN03433BS691199919,SL6911 LEATHER ACTIVE 03-N BRANT BARBAT 43,NULL,130,23,4,34,21,9.1336800000,700000148016,6911,NULL,BUC,1
219835,SLYN03433BS691199921,SL6911 LEATHER ACTIVE 03-N BRANT BARBAT 44,NULL,130,23,4,34,21,8.8236300000,700000148017,6911,NULL,BUC,1
219836,SLYD03433DS692099903,SL6920 LATEX HALF SOLE 03-D BRANT PARTIAL DAMA 35-36,NULL,130,23,4,34,21,2.4324300000,700000148018,6920,NULL,BUC,1
219840,SLYD03433DS692099907,SL6920 LATEX HALF SOLE 03-D BRANT PARTIAL DAMA 37-38,NULL,130,23,4,34,21,2.4608400000,700000148022,6920,NULL,BUC,1
219841,SLYD03433DS692099909,SL6920 LATEX HALF SOLE 03-D BRANT PARTIAL DAMA 39-40,NULL,130,23,4,34,21,2.3455300000,700000148023,6920,NULL,BUC,1
219843,SLYD03433DS692199903,SL6921 LATEX HALF SOLE TOES FREE 03-D BRANT PARTIAL DAMA 35-36,NULL,130,23,4,34,21,1.8330600000,700000148025,6921,NULL,BUC,1
219844,SLYD03433DS692199907,SL6921 LATEX HALF SOLE TOES FREE 03-D BRANT PARTIAL DAMA 37-38,NULL,130,23,4,34,21,1.8627700000,700000148026,6921,NULL,BUC,1
219845,SLYD03433DS692199911,SL6921 LATEX HALF SOLE TOES FREE 03-D BRANT PARTIAL DAMA 39-40,NULL,130,23,4,34,21,1.8390500000,700000148027,6921,NULL,BUC,1
219846,SLYD03433DS692199915,SL6921 LATEX HALF SOLE TOES FREE 03-D BRANT PARTIAL DAMA 41-42,NULL,130,23,4,34,21,1.7138500000,700000148028,6921,NULL,BUC,1
219906,SLYS03433DS647099999,SL6470 TRY SOCKS 03-S SOSETE PROBA,NULL,130,23,4,34,21,20.9085500000,700000148088,6470,NULL,BUC,1
219965,SLYD88433BS616799945,SL6167 MAGIC HEEL 88-D BRANT BARBAT M,NULL,130,23,4,34,21,6.0387500000,700000148147,6167,NULL,BUC,1
219966,SLYD88433DS621199999,SL6211 MAGIC COMFORT 88-D BRANT DAMA,NULL,130,23,4,34,21,5.2701000000,700000148148,6211,NULL,BUC,1
219967,SLYD88433DS621499999,SL6214 MAGIC ANTISLIP 88-D BRANT DAMA,NULL,130,23,4,34,21,5.6011200000,700000148149,6214,NULL,BUC,1
238224,OTYN01111BK278509925,OT27850 01-N PANTOF BARBAT 46,NULL,24,23,1,12,21,74.5730100000,700000166372,27850,NULL,PER,1
238225,OTYN01111BK278509927,OT27850 01-N PANTOF BARBAT 47,NULL,24,23,1,12,21,75.0475500000,700000166373,27850,NULL,PER,1
349729,SL52000.8692944,BRANT INTERIOR DIN LANA(THERMO 6929)-SL52000.8692944,NULL,130,19,4,34,21,8.3868800000,700000277552,2943,NULL,BUC,1
349730,SL52000.8692945,BRANT INTERIOR DIN LANA(THERMO 6929)-SL52000.8692945,NULL,130,19,4,34,21,6.3850800000,700000277553,2943,NULL,BUC,1
349734,SLYN03433BS691199923,SL6911 LEATHER ACTIVE 03-N BRANT BARBAT 45,NULL,130,23,4,34,21,7.6828400000,700000277557,6911,NULL,BUC,1
460390,SLYS01433UK099039699,SL990396 VELOURS-FIX BURETE PENTRU PIELE INTOARSA 01-S UNISEX,NULL,130,23,4,34,21,6.3529000000,700000388016,990396,NULL,BUC,1
487032,SLYC88433UK090112099,SL0901120 POWER CLEANER SET SPUMA SI BURETI 88-C SPUMA 125 ML UNISEX,NULL,130,23,4,34,21,13.1090100000,700000414627,0901120,NULL,BUC,1
498901,AR5S01112DK685529999,AR68552-66 01-S  GHEATA  DAMA,"HY-JE-T,LAPIN SCHWARZ,NATUR",1,44,1,13,21,88.5352400000,700000426471,68552-66,NULL,PER,1
553102,SLYZ88433UK091390999,SL0913909 PATENT LEATHER CARE 88-Z CREMA 50 ML UNISEX,NULL,130,23,4,34,21,10.7228400000,700000480559,913909,NULL,BUC,1
553103,SLYZ01433UK091390899,SL0913908 PATENT LEATHER CARE 01-Z CREMA 50 ML UNISEX,NULL,130,23,4,34,21,9.3604000000,700000480560,913908,NULL,BUC,1
560177,OE6N10114DK644627499,OE6446-274-496 10-N  SANDA  DAMA,GRADENIA ORCHID MC,558,45,1,15,21,97.0128700000,700000487578,6446-274-496,NULL,PER,1
601416,OTYN01112BK27751BL99,OT27751BL 01-N  GHEATA  BARBAT,OFF WHITE WOOL LINING,24,23,1,13,21,101.8592000000,700000528608,27751BL,NULL,PER,1
602267,OTYN01112BK27758BL99,OT27758BL 01-N  GHEATA  BARBAT,OFF WHITE WOOL LINING,24,23,1,13,21,101.7321400000,700000529454,27758BL,NULL,PER,1
630494,QQ8N42115DK100049999,QQ10004 42-N  PAPUC  DAMA,PELLE BW,801,47,1,16,21,21.9505900000,700000556935,10004,NULL,PER,1
644625,SLYZ88433UK090589599,SL0905895 SNEAKER FRESH 88-Z SPRAY 100 ML UNISEX,NULL,130,23,4,34,21,8.4951400000,700000570997,"0905895 SNEAKER FRESH ",NULL,BUC,1
661881,SLYZ01433UK090139499,SL0901394 VELOUR NUB. CARE (5873) 01-Z SPRAY 200 ML UNISEX,NULL,130,23,4,34,21,10.5482100000,700000588144,0901394 VELOUR NUB. CARE,NULL,BUC,1
667669,SLYZ88433UK090139399,SL0901393 VELOUR NUB. CARE (5866) 88-Z SPRAY 200 ML UNISEX,NULL,130,23,4,34,21,10.0910800000,700000593917,0901394 VELOUR NUB. CARE,NULL,BUC,1
695417,ARAS37219DK210109999,AR21010-55 37-S  POSETA  DAMA,GRANO CORALLO,1,49,2,20,21,96.3173600000,700000619727,21010-55,NULL,BUC,1
719546,SLYZ07433UK090139299,SL0901392 VELOURS NUBUKPFL. 07-Z SPRAY 200 ML UNISEX,NULL,130,23,4,34,21,9.9940200000,700000643645,SL0901392 VELOURS NUBUKPFL. 07-Z SPRAY 200 ML UNISEX,NULL,BUC,1
719549,SLYZ02433UK090139199,SL0901391 VELOURS NUBUKPFL. 02-Z SPRAY 200 ML UNISEX,NULL,130,23,4,34,21,9.9940200000,700000643648,SL0901391 VELOURS NUBUKPFL. 02-Z SPRAY 200 ML UNISEX,NULL,BUC,1
725541,QQYN13116DK615999903,QQ615/C 13-N  SABOT  DAMA 35,PELLE BIANCO,801,23,1,17,21,36.8885200000,700000649630,615/C,NULL,PER,1
725543,QQYN13116DK615999907,QQ615/C 13-N  SABOT  DAMA 37,PELLE BIANCO,801,23,1,17,21,36.8885200000,700000649632,615/C,NULL,PER,1
725544,QQYN13116DK615999909,QQ615/C 13-N  SABOT  DAMA 38,PELLE BIANCO,801,23,1,17,21,36.8885200000,700000649633,615/C,NULL,PER,1
725545,QQYN13116DK615999911,QQ615/C 13-N  SABOT  DAMA 39,PELLE BIANCO,801,23,1,17,21,36.3900200000,700000649634,615/C,NULL,PER,1
725546,QQYN13116DK615999913,QQ615/C 13-N  SABOT  DAMA 40,PELLE BIANCO,801,23,1,17,21,36.3900200000,700000649635,615/C,NULL,PER,1
725547,QQYN13116DK615999915,QQ615/C 13-N  SABOT  DAMA 41,PELLE BIANCO,801,23,1,17,21,36.8885200000,700000649636,615/C,NULL,PER,1
725556,QQYN13116DK615C99905,QQ615/C 13-N  SABOT  DAMA 36,WHITE LEATHER MAIALINO GHIACCIO,801,23,1,17,21,36.8885200000,700000649645,615/C,NULL,PER,1
725569,QQYN13116DK707999903,QQ707 13-N  SABOT  DAMA 35,PELLE BIANCO,801,23,1,17,21,27.4171400000,700000649658,707,NULL,PER,1
725570,QQYN13116DK707999905,QQ707 13-N  SABOT  DAMA 36,PELLE BIANCO,801,23,1,17,21,27.4171400000,700000649659,707,NULL,PER,1
725571,QQYN13116DK707999907,QQ707 13-N  SABOT  DAMA 37,PELLE BIANCO,801,23,1,17,21,27.4171400000,700000649660,707,NULL,PER,1
725572,QQYN13116DK707999909,QQ707 13-N  SABOT  DAMA 38,PELLE BIANCO,801,23,1,17,21,27.4171400000,700000649661,707,NULL,PER,1
725574,QQYN13116DK707999913,QQ707 13-N  SABOT  DAMA 40,PELLE BIANCO,801,23,1,17,21,27.4171400000,700000649663,707,NULL,PER,1
725575,QQYN13116DK707999915,QQ707 13-N  SABOT  DAMA 41,PELLE BIANCO,801,23,1,17,21,27.4171400000,700000649664,707,NULL,PER,1
725639,QQYN13115DK719I99903,QQ719/I 13-N  PAPUC  DAMA 35,LEATHER WHITE MAIALINO + GEL,801,23,1,16,21,47.8553700000,700000649728,719/I,NULL,PER,1
725640,QQYN13115DK719I99905,QQ719/I 13-N  PAPUC  DAMA 36,LEATHER WHITE MAIALINO + GEL,801,23,1,16,21,47.8553700000,700000649729,719/I,NULL,PER,1
725641,QQYN13115DK719I99907,QQ719/I 13-N  PAPUC  DAMA 37,LEATHER WHITE MAIALINO + GEL,801,23,1,16,21,47.8553700000,700000649730,719/I,NULL,PER,1
725642,QQYN13115DK719I99909,QQ719/I 13-N  PAPUC  DAMA 38,LEATHER WHITE MAIALINO + GEL,801,23,1,16,21,47.8553700000,700000649731,719/I,NULL,PER,1
725643,QQYN13115DK719I99911,QQ719/I 13-N  PAPUC  DAMA 39,LEATHER WHITE MAIALINO + GEL,801,23,1,16,21,47.8553700000,700000649732,719/I,NULL,PER,1
725644,QQYN13115DK719I99913,QQ719/I 13-N  PAPUC  DAMA 40,LEATHER WHITE MAIALINO + GEL,801,23,1,16,21,47.8553700000,700000649733,719/I,NULL,PER,1
725645,QQYN13115DK719I99915,QQ719/I 13-N  PAPUC  DAMA 41,LEATHER WHITE MAIALINO + GEL,801,23,1,16,21,47.8553700000,700000649734,719/I,NULL,PER,1
725660,QQYS13115DK100039903,QQ10003 13-S  PAPUC  DAMA 35,SYNTHETIC WHITE FUSSBET LEATHER,801,23,1,16,21,23.9276900000,700000649749,10003,NULL,PER,1
725661,QQYS13115DK100039905,QQ10003 13-S  PAPUC  DAMA 36,SYNTHETIC WHITE FUSSBET LEATHER,801,23,1,16,21,23.9276900000,700000649750,10003,NULL,PER,1
725662,QQYS13115DK100039907,QQ10003 13-S  PAPUC  DAMA 37,SYNTHETIC WHITE FUSSBET LEATHER,801,23,1,16,21,23.9276900000,700000649751,10003,NULL,PER,1
725663,QQYS13115DK100039909,QQ10003 13-S  PAPUC  DAMA 38,SYNTHETIC WHITE FUSSBET LEATHER,801,23,1,16,21,23.9276900000,700000649752,10003,NULL,PER,1
725664,QQYS13115DK100039911,QQ10003 13-S  PAPUC  DAMA 39,SYNTHETIC WHITE FUSSBET LEATHER,801,23,1,16,21,23.9276900000,700000649753,10003,NULL,PER,1
725665,QQYS13115DK100039913,QQ10003 13-S  PAPUC  DAMA 40,SYNTHETIC WHITE FUSSBET LEATHER,801,23,1,16,21,23.9276900000,700000649754,10003,NULL,PER,1
725666,QQYS13115DK100039915,QQ10003 13-S  PAPUC  DAMA 41,SYNTHETIC WHITE FUSSBET LEATHER,801,23,1,16,21,23.9276900000,700000649755,10003,NULL,PER,1
759991,ARCI42114DK272399999,AR27239-72 42-I  SANDA  DAMA,SAMTCHEVRO BLAU,1,51,1,15,21,114.4468100000,700000683822,27239-72,NULL,PER,1
765005,B2CE08114DK18J683999,B218J683-01L-1273 08-E  SANDA  DAMA,YELLOW SNAKE GRAIN GOAT LEATHER,833,51,1,15,21,105.0881000000,700000688835,18J683-01L-1273,NULL,PER,1
766924,M7CT01195DKF76780299,M7F767802 01-T  PANTOF VARA  DAMA,BLACK FLYING KNITTING,968,51,1,158,21,51.9600700000,700000690752,F767802,NULL,PER,1
767104,ARCS01219DK212079999,AR21207-50 01-S  POSETA  DAMA,GRANO ; SCHWARZ,1,51,2,20,21,95.8515500000,700000690931,21207-50,NULL,BUC,1
788890,SLYC88433UK099069299,SL0990692 ULEI PIELE LACUITA 88-C ULEI 100 ML UNISEX,NULL,130,23,4,34,21,9.7744400000,700000711577,0692,NULL,BUC,1
803714,ARCS08219DK210109999,AR21010-56 08-S  POSETA  DAMA,GRANO SOLE,1,51,2,20,21,94.3447300000,700000726393,21010-56,NULL,BUC,1
808752,S5DI01112DKHR1401199,S5HR141-0113-F1J 01-I  GHEATA  DAMA,KID SUEDE BLACK,1026,52,1,13,21,136.7237100000,700000731422,HR141-0113-F1J,NULL,PER,1
809867,J8DL01111DKB21601999,J8B21601 01-L  PANTOF  DAMA,BLACK SHINING CALF SKIN,929,52,1,12,21,79.1269700000,700000732536,B21601,NULL,PER,1
809868,J8DL23111DKB21601999,J8B21601 23-L  PANTOF  DAMA,BORD. SHINING CALF SKIN,929,52,1,12,21,78.0256300000,700000732537,B21601,NULL,PER,1
809881,J8DN01111DKB30089999,J8B3008 01-N  PANTOF  DAMA,BLACK CALF SKIN,929,52,1,12,21,67.3378200000,700000732550,B3008,NULL,PER,1
811885,L1DN01112BK518339999,L151833 01-N  GHEATA  BARBAT,37 BLACK CALF LEATHER,943,52,1,13,21,103.1271500000,700000734551,51833,NULL,PER,1
812059,J8DO23112DKB21635099,J8B216-03507 23-O  GHEATA  DAMA,BORD PATENT CALF LEATHER,929,52,1,13,21,100.5633700000,700000734725,B216-03507,NULL,PER,1
815684,F8DI01112DK186531699,F81865D-3169L 01-I  GHEATA  DAMA,BLACK GOAT SUEDE,887,52,1,13,21,135.2699100000,700000738349,1865D-3169L,NULL,PER,1
815744,JIDL01111DKXS32C1099,JIXS320-C104-B972BZ 01-L  PANTOF  DAMA,BLACK PATENT LEATHER+PU,761,52,1,12,21,130.8111000000,700000738409,XS320-C104-B972BZ,NULL,PER,1
829636,J8DLC2111DKB21601999,J8B21601 C2-L  PANTOF  DAMA,DARK GREEN SHINING CALF SKIN,929,52,1,12,21,78.0248000000,700000752238,B21601,NULL,PER,1
848211,ICE201103DK155330999,IC155330 01-2  BALERIN  DAMA,03310/011 S. NERO/NERO,200,53,1,235,21,74.3039200000,700000770692,155330,NULL,PER,1
848213,ICE208114DK157060999,IC157060 08-2  SANDA  DAMA,3808/010 N. LI. GIALLO/GIALLO,200,53,1,15,21,76.6440600000,700000770694,157060,NULL,PER,1
848220,ICEN01115BK153000999,IC153000 01-N  PAPUC  BARBAT,17060/011 NAP.B. NERO/NERO,200,53,1,16,21,79.4118800000,700000770701,153000,NULL,PER,1
848227,ICEN01114BK153020999,IC153020 01-N  SANDA  BARBAT,17060/01 NAP. B. NERO/NERO,200,53,1,15,21,92.1359400000,700000770708,153020,NULL,PER,1
848229,ICEN42115BK153110999,IC153110 42-N  PAPUC  BARBAT,3401/013 N.SC. BLU SCUR/BEIGE,200,53,1,16,21,82.0750800000,700000770710,153110,NULL,PER,1
849068,D0EN14195DK071401099,D02022SS0714010 14-N  PANTOF VARA  DAMA,Grey Leather,861,53,1,158,21,95.5792100000,700000771549,2022SS0714010,NULL,PER,1
849069,D0EN11111DK071401699,D02022SS0714016 11-N  PANTOF  DAMA,Pink Leather,861,53,1,12,21,103.5440900000,700000771550,2022SS0714016,NULL,PER,1
849081,D0E201185DK071405499,D02022SS0714054 01-2  SABOT CU BARETA  DAMA,Black Kid suede,861,53,1,143,21,95.5792100000,700000771562,2022SS0714054,NULL,PER,1
849085,D0EI01115DK071407299,D02022SS0714072 01-I  PAPUC  DAMA,Black Kid suede,861,53,1,16,21,96.4620200000,700000771566,2022SS0714072,NULL,PER,1
849086,D0EE15115DK071407399,D02022SS0714073 15-E  PAPUC  DAMA,Purple Leather,861,53,1,16,21,96.4620200000,700000771567,2022SS0714073,NULL,PER,1
849091,D0EN01111DK071408899,D02022SS0714088 01-N  PANTOF  DAMA,Black Leather,861,53,1,12,21,103.5440900000,700000771572,2022SS0714088,NULL,PER,1
849092,D0ENC5111DK071408999,D02022SS0714089 C5-N  PANTOF  DAMA,Pink Leather,861,53,1,12,21,103.5440900000,700000771573,2022SS0714089,NULL,PER,1
849093,D0EN03111DK071409099,D02022SS0714090 03-N  PANTOF  DAMA,Beige Leather,861,53,1,12,21,103.5440900000,700000771574,2022SS0714090,NULL,PER,1
849095,D0EN23111DK072101699,D02022SS0721016 23-N  PANTOF  DAMA,Burgendy Leather,861,53,1,12,21,73.1023600000,700000771576,2022SS0721016,NULL,PER,1
849264,M5EN01195DK131801299,M5131801-2 01-N  PANTOF VARA  DAMA,M5003,966,53,1,158,21,68.8508100000,700000771745,131801-2,NULL,PER,1
849283,J8ET01195DKB21019999,J8B21019 01-T  PANTOF VARA  DAMA,J8003,929,53,1,158,21,67.2551300000,700000771764,B21019,NULL,PER,1
849291,M4EN52103DKD21119999,M4D211-1 52-N  BALERIN  DAMA,M4010,965,53,1,235,21,81.1505600000,700000771772,D211-1,NULL,PER,1
849292,M4EN05103DKD21119999,M4D211-1 05-N  BALERIN  DAMA,M4007,965,53,1,235,21,81.7752800000,700000771773,D211-1,NULL,PER,1
849303,T1EN52111DKD21051999,T1D2105-1 52-N  PANTOF  DAMA,T1017,1032,53,1,12,21,81.6721200000,700000771784,D2105-1,NULL,PER,1
849308,T1EN52103DKD21982999,T1D2198-2 52-N  BALERIN  DAMA,T1016,1032,53,1,235,21,78.5480800000,700000771789,D2198-2,NULL,PER,1
849309,T1EN06103DKD21982999,T1D2198-2 06-N  BALERIN  DAMA,T1011,1032,53,1,235,21,78.5833300000,700000771790,D2198-2,NULL,PER,1
849311,T1EL01103DKD21071999,T1D2107-1 01-L  BALERIN  DAMA,T1001,1032,53,1,235,21,78.5607200000,700000771792,D2107-1,NULL,PER,1
849342,X4EN01111DK218201999,X4218201  01-N  PANTOF  DAMA,X4002,1076,53,1,12,21,66.4207400000,700000771823,218201,NULL,PER,1
849370,B2EN13195DK18J101799,B218J1017-03L-1497-1 13-N  PANTOF VARA  DAMA,B2012,833,53,1,158,21,122.6176200000,700000771851,18J1017-03L-1497-1,NULL,PER,1
849395,JZEI01114DKA65R79999,JZA65-R7-2 01-I  SANDA  DAMA,JZ003,759,53,1,15,21,101.4057800000,700000771876,A65-R7-2,NULL,PER,1
849397,JZEI06114DKA65R79999,JZA65-R7-W77 06-I  SANDA  DAMA,JZ007,759,53,1,15,21,106.2103100000,700000771878,A65-R7-W77,NULL,PER,1
849721,JYEI01111DK2F5070699,JY2F5060-706-Y36 01-I  PANTOF  DAMA,JY001,757,53,1,12,21,115.0845700000,700000772202,2F5060-706-Y36,NULL,PER,1
849740,HMEI01195DK1F1381299,HM1F1379-0812-A1571A 01-I  PANTOF VARA  DAMA,1F1379-0812-A1571A,646,53,1,158,21,115.5650200000,700000772221,1F1379-0812-A1571A,NULL,PER,1
